String,Type,Predicate
"""We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection,Trick Questions
"""Your purchase entitles you to the following special""",Misdirection,Pressured Selling
$132.90 $99.00,Misdirection,Visual Interference
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,Misdirection,Pressured Selling
ADD FOR BETTER RESULTS,Misdirection,Pressured Selling
ADD WORLD'S MOST COMFORTABLE CHAIRS,Misdirection,Pressured Selling
Add and save!,Misdirection,Pressured Selling
Add on something to make it extra special!,Misdirection,Pressured Selling
Add to Your Gift and We'll Ship it For Free!,Misdirection,Pressured Selling
"Before you check out, can we tempt you?",Misdirection,Pressured Selling
Compare at,Misdirection,Visual Interference
Competitor Price: $172.00,Misdirection,Visual Interference
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Misdirection,Visual Interference
Customer also shopped for,Misdirection,Pressured Selling
Customers also bought,Misdirection,Pressured Selling
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,Misdirection,Pressured Selling
Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,Misdirection,Pressured Selling
Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,Misdirection,Pressured Selling
FANSTASTIC DEALS,Misdirection,Pressured Selling
FOR THE ULTIMATE EXPERIENCE: (Can select more than one),Misdirection,Pressured Selling
GlassGuard Warranty Do not fear breaking your glass! Add our GlassGuard warranty policy for just $3.85 and we'll insure this purchase.,Misdirection,Pressured Selling
Grab yourself a bargain!,Misdirection,Pressured Selling
How about one of these hot sellers?,Misdirection,Pressured Selling
How about these?,Misdirection,Pressured Selling
"I DON'T LIKE FREE GIFTS, NO THANKS",Misdirection,Confirmshaming
I Don't Like to Save Money,Misdirection,Confirmshaming
I WANT TO PAY MORE LATER ;),Misdirection,Confirmshaming
I already have this item. Do not add this to cart,Misdirection,Trick Questions
I do not want to protect my item,Misdirection,Confirmshaming
I don't feel lucky,Misdirection,Confirmshaming
I don't like discounts,Misdirection,Confirmshaming
I don't want a discount,Misdirection,Confirmshaming
I don't want to save money,Misdirection,Confirmshaming
I wish to Start Shopping but I don't want to receive daily email alerts about your amazing discounts on luxury brands.,Misdirection,Visual Interference
I'D RATHER PAY FULL PRICE,Misdirection,Confirmshaming
I'LL PAY FULL PRICE,Misdirection,Confirmshaming
I'd rather not save,Misdirection,Confirmshaming
I'd rather pay full price,Misdirection,Confirmshaming
I'll Shop Without A Discount,Misdirection,Confirmshaming
"If you click continue below we will be happy to tell you about discounts, money off and new products from Very by e-mail and text,
unless you tell us you DO NOT want to hear about them, by ticking here.
If you would like to receive offers from carefully selected 3rd parties, please tick here",Misdirection,Trick Questions
LIMITED TIME OFFER : Grab a Matching Pair & save up 60%!,Misdirection,Pressured Selling
LOGIN/REGISTER,Misdirection,Trick Questions
Lenscap: Damage Only,Misdirection,Pressured Selling
Let's make sure you have everything else you need,Misdirection,Pressured Selling
Limited-time Offer: Bundle a base and get 20% off,Misdirection,Pressured Selling
NO THANKS,Misdirection,Pressured Selling
"NO THANKS, I DON'T LIKE FREE STUFF",Misdirection,Confirmshaming
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection,Confirmshaming
"NO THANKS, I DON'T WANT TO SAVE",Misdirection,Confirmshaming
"NO THANKS, I DON'T WANT TO SAVE MONEY",Misdirection,Confirmshaming
"NO THANKS, I DON’T MIND MISSING OUT",Misdirection,Confirmshaming
"NO THANKS, I DON’T WANT 15% OFF",Misdirection,Confirmshaming
"NO THANKS, I'D RATHER PAY FULL PRICE",Misdirection,Confirmshaming
"NO THANKS, I'll PAY FULL PRICE",Misdirection,Confirmshaming
"NO, I DON'T FEEL LUCKY",Misdirection,Confirmshaming
"NO, I'D RATHER PAY FULL PRICE",Misdirection,Confirmshaming
"NO, I'LL PAY FULL PRICE",Misdirection,Confirmshaming
"NO, THANKS. I DON'T LIKE DISCOUNTS",Misdirection,Confirmshaming
"Nah, I like paying full price",Misdirection,Confirmshaming
"Nah, I'll pay full price",Misdirection,Confirmshaming
Necessary Protection..,Misdirection,Pressured Selling
"Nice choice. Did you know you’re missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Misdirection,Pressured Selling
No I don't feel lucky,Misdirection,Confirmshaming
No I'd rather not hear about exclusive offers and discounts.,Misdirection,Visual Interference
"No Thanks, I Don't Like Exclusive Offers.",Misdirection,Confirmshaming
"No Thanks, I Don't Like Saving Money.",Misdirection,Confirmshaming
"No Thanks, I Don't Want To Save",Misdirection,Confirmshaming
"No Thanks, I Don't Want a Discount",Misdirection,Confirmshaming
"No Thanks, I Don't Want a Free Gift",Misdirection,Confirmshaming
"No Thanks, I Prefer Paying Full Price",Misdirection,Confirmshaming
"No Thanks, I Prefer Paying Full Price.",Misdirection,Confirmshaming
"No Thanks, I don't like exclusive deals.",Misdirection,Confirmshaming
"No Thanks, I don't like free stuff.",Misdirection,Confirmshaming
"No Thanks, I don't want a discount",Misdirection,Confirmshaming
"No Thanks, I don't want official software at the best price.",Misdirection,Confirmshaming
"No Thanks, I like paying full price.",Misdirection,Confirmshaming
"No Thanks, I prefer not to have a protection plan",Misdirection,Confirmshaming
"No Thanks, I prefer paying full price.",Misdirection,Confirmshaming
"No Thanks, I rather pay full price",Misdirection,Confirmshaming
"No Thanks, I'd Rather Pay Full Price",Misdirection,Confirmshaming
"No Thanks, I'd rather pay full price",Misdirection,Confirmshaming
"No Thanks, I'll Pay Full Price",Misdirection,Confirmshaming
"No Thanks, I'll let this offer sail away",Misdirection,Confirmshaming
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection,Pressured Selling
"No thank you, I prefer to pay for shipping.",Misdirection,Confirmshaming
"No thank you, I prefer to pay full price",Misdirection,Confirmshaming
No thanks - I don't want to save money,Misdirection,Confirmshaming
No thanks I definitely measured correctly,Misdirection,Confirmshaming
No thanks! I don't like deals,Misdirection,Confirmshaming
"No thanks! I'd rather join the """"Pay Full Price for Things"""" club.",Misdirection,Confirmshaming
"No thanks, I despise coupons!",Misdirection,Confirmshaming
"No thanks, I don't like FREE stuff.",Misdirection,Confirmshaming
"No thanks, I don't like deals.",Misdirection,Confirmshaming
"No thanks, I don't like discounts",Misdirection,Confirmshaming
"No thanks, I don't like exclusive offers",Misdirection,Confirmshaming
"No thanks, I don't like free stuff",Misdirection,Confirmshaming
"No thanks, I don't like getting free stuff.",Misdirection,Confirmshaming
"No thanks, I don't like good deals.",Misdirection,Confirmshaming
"No thanks, I don't like promotions and exclusive content.",Misdirection,Confirmshaming
"No thanks, I don't like saving money",Misdirection,Confirmshaming
"No thanks, I don't like savings",Misdirection,Confirmshaming
"No thanks, I don't like to save",Misdirection,Confirmshaming
"No thanks, I don't like winning",Misdirection,Confirmshaming
"No thanks, I don't like winning.",Misdirection,Confirmshaming
"No thanks, I don't want 15% off",Misdirection,Confirmshaming
"No thanks, I don't want a free gift.",Misdirection,Confirmshaming
"No thanks, I don't want any deals",Misdirection,Confirmshaming
"No thanks, I don't want discount",Misdirection,Confirmshaming
"No thanks, I don't want the free gift.",Misdirection,Confirmshaming
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,Confirmshaming
"No thanks, I don't want to look my best",Misdirection,Confirmshaming
"No thanks, I don't want to save up to 75%",Misdirection,Confirmshaming
"No thanks, I dont want a discount",Misdirection,Confirmshaming
"No thanks, I don’t like fun and games.",Misdirection,Confirmshaming
"No thanks, I don’t like saving money.",Misdirection,Confirmshaming
"No thanks, I don’t want to save",Misdirection,Confirmshaming
"No thanks, I hate cool stuff",Misdirection,Confirmshaming
"No thanks, I hate saving money",Misdirection,Confirmshaming
"No thanks, I just want the item",Misdirection,Pressured Selling
"No thanks, I like full price",Misdirection,Confirmshaming
"No thanks, I like paying full price",Misdirection,Confirmshaming
"No thanks, I prefer to pay full price.",Misdirection,Confirmshaming
"No thanks, I prefer to pay more for shoes!",Misdirection,Confirmshaming
"No thanks, I want to pay full price",Misdirection,Confirmshaming
"No thanks, I want to pay the full price.",Misdirection,Confirmshaming
"No thanks, I will pay full price.",Misdirection,Confirmshaming
"No thanks, I'd like 0% off",Misdirection,Confirmshaming
"No thanks, I'd rather pay full price.",Misdirection,Confirmshaming
"No thanks, I'd rather pay more",Misdirection,Confirmshaming
"No thanks, I'll be the last to know.",Misdirection,Confirmshaming
"No thanks, I'll just pay full price.",Misdirection,Confirmshaming
"No thanks, I'll pay full price",Misdirection,Confirmshaming
"No thanks, I'll pay full price!",Misdirection,Confirmshaming
"No thanks, I'll still want to pay full price",Misdirection,Confirmshaming
"No thanks, I'm not interested",Misdirection,Confirmshaming
"No thanks, I'm not interested in saving money.",Misdirection,Confirmshaming
"No thanks, I've got too much cool Glock stuff!",Misdirection,Confirmshaming
"No thanks, I’d rather not win.",Misdirection,Confirmshaming
"No thanks, I’d rather pay full price.",Misdirection,Confirmshaming
"No thanks, I’d rather pay more",Misdirection,Confirmshaming
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Misdirection,Confirmshaming
"No thanks, free stuff isn't for me.",Misdirection,Confirmshaming
No thanks. I don't like free things...,Misdirection,Confirmshaming
No thanks. I don’t want deals.,Misdirection,Confirmshaming
No thanks. I don’t want to save money.,Misdirection,Confirmshaming
No thanks. I love chaos!,Misdirection,Confirmshaming
No thanks. I prefer paying full price.,Misdirection,Confirmshaming
No thanks. I'd rather pay full price.,Misdirection,Confirmshaming
"No, I Don't Like Discounts",Misdirection,Confirmshaming
"No, I don't feel lucky",Misdirection,Confirmshaming
"No, I don't feel lucky.",Misdirection,Confirmshaming
"No, I don't want a discount",Misdirection,Confirmshaming
"No, I don't want great deals.",Misdirection,Confirmshaming
"No, I'd rather do it the hard way...",Misdirection,Confirmshaming
"No, I'd rather pay full price.",Misdirection,Confirmshaming
"No, I'll rather pay full price.",Misdirection,Confirmshaming
"No, thank you. I prefer to pay the full price",Misdirection,Confirmshaming
"No, thanks, I´d rather pay more",Misdirection,Confirmshaming
"No, thanks. I don't like great deals.",Misdirection,Confirmshaming
"No, thanks. I'd prefer not to save.",Misdirection,Confirmshaming
"No, thanks. I'd rather pay full price.",Misdirection,Confirmshaming
OUR BEST SELLING GOGGLE,Misdirection,Pressured Selling
Order without free membership $69.95,Misdirection,Visual Interference
Other Items On Special Offer:,Misdirection,Pressured Selling
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",Misdirection,Pressured Selling
People also buy this with,Misdirection,Pressured Selling
Personalize your doll,Misdirection,Pressured Selling
Professional Color Tool Kit / Addons,Misdirection,Pressured Selling
Protect Your Gear,Misdirection,Pressured Selling
Save $148.98AUD – 49% Off,Misdirection,Visual Interference
Score! You've Qualified for a Checkout Bonus,Misdirection,Pressured Selling
Spin to unlock your mystery offer,Misdirection,Visual Interference
Subscribe & Save,Misdirection,Pressured Selling
Subscribe & Save (15%): $ 16.99,Misdirection,Pressured Selling
"THE COMPETITION $1,299.99",Misdirection,Visual Interference
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Misdirection,Visual Interference
This offer is only VALID if you add to cart now!,Misdirection,Visual Interference
Tick here if you do not want to receive Promotional Offers by Post Tick here if you do wish to receive Promotional Offers by email and/or SMS Tick here if you would like to receive Offers from selected third parties,Misdirection,Trick Questions
Uncheck the box if you prefer not to receive email updates.,Misdirection,Trick Questions
Want Free Shipping?,Misdirection,Trick Questions
Want a special deal? Bundle and SAVE UPTO30%,Misdirection,Pressured Selling
Want to add one of these?,Misdirection,Pressured Selling
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",Misdirection,Trick Questions
"We'd like to send you weekly emails packed full of our lovely products, clearance goodies and cool stuff to win. You can unsubscribe at any time. If you DON'T want to receive these emails, please tick this box. We'd like to send you the occasional brochure so you can get a regular fix of our lovely product! You can unsubscribe at any time. If you DON'T want to receive these brochures, please tick this box. We'd like to introduce you to other brands you might love who will post you the occasional brochure. You can opt out of this at any time. If you DON'T want to receive these brochures, please tick this box.",Misdirection,Trick Questions
With 1-year Care Subscription 10 days history,Misdirection,Pressured Selling
Would you like to buy more and save more?,Misdirection,Pressured Selling
Would you like to purchase an Extended Protection Plan?,Misdirection,Pressured Selling
Yes! Upgrade my purchase,Misdirection,Pressured Selling
"Yes, I Want To Save Money!No Thanks",Misdirection,Confirmshaming
"You choose: just one box, or a  Madison Reed Membership?",Misdirection,Pressured Selling
"[NO THANKS, I'LL JUST WALK]",Misdirection,Confirmshaming
nan,Misdirection,Pressured Selling
"no thanks, I don't like to save",Misdirection,Confirmshaming
"no thanks, I hate fun & games",Misdirection,Confirmshaming
"no thanks, I like paying full price",Misdirection,Confirmshaming
"no thanks, I'll save money another day",Misdirection,Confirmshaming
(5 Left),Scarcity,Low-stock Message
(ONLY 1 LEFT IN THIS SIZE!),Scarcity,Low-stock Message
(Only 1 Left),Scarcity,Low-stock Message
(Only 1 left!),Scarcity,Low-stock Message
(Only 5 Left),Scarcity,Low-stock Message
(only 5 left),Scarcity,Low-stock Message
*Only 2 left in stock. Don't miss out!,Scarcity,Low-stock Message
1 LEFT,Scarcity,Low-stock Message
1 LEFT IN THIS SIZE,Scarcity,Low-stock Message
1 Left,Scarcity,Low-stock Message
1 in Stock,Scarcity,Low-stock Message
1 in stock,Scarcity,Low-stock Message
1 item left,Scarcity,Low-stock Message
1 left at this price,Scarcity,Low-stock Message
1 left in stock,Scarcity,Low-stock Message
1 left in stock. Hurry!,Scarcity,Low-stock Message
"1 left, order now!",Scarcity,Low-stock Message
10 Left,Scarcity,Low-stock Message
10 Left in stock,Scarcity,Low-stock Message
10 SEATS LEFT,Scarcity,Low-stock Message
"128 sold today! Hurry, only a few left!",Scarcity,Low-stock Message
167 piece(s) left for this promo,Scarcity,Low-stock Message
18 In Stock,Scarcity,Low-stock Message
2 LEFT,Scarcity,Low-stock Message
2 in stock,Scarcity,Low-stock Message
2 items left,Scarcity,Low-stock Message
2 left,Scarcity,Low-stock Message
2 left in stock,Scarcity,Low-stock Message
20 units left,Scarcity,Low-stock Message
23% left in stock!,Scarcity,Low-stock Message
3 LEFT,Scarcity,Low-stock Message
3 Left,Scarcity,Low-stock Message
3 Left!,Scarcity,Low-stock Message
3 items left,Scarcity,Low-stock Message
3 left,Scarcity,Low-stock Message
3 left in stock,Scarcity,Low-stock Message
320 items left,Scarcity,Low-stock Message
4 SEATS LEFT,Scarcity,Low-stock Message
4 items left,Scarcity,Low-stock Message
5 LEFT,Scarcity,Low-stock Message
5 in stock,Scarcity,Low-stock Message
5 items left,Scarcity,Low-stock Message
5 left,Scarcity,Low-stock Message
6 items left! Order soon.,Scarcity,Low-stock Message
67% offers claimed. Hurry up!,Scarcity,Low-stock Message
7 left in stock,Scarcity,Low-stock Message
70% offers claimed. Hurry up!,Scarcity,Low-stock Message
72% offers claimed. Hurry up!,Scarcity,Low-stock Message
74% offers claimed. Hurry up!,Scarcity,Low-stock Message
8 items left,Scarcity,Low-stock Message
80% offers claimed. Hurry up!,Scarcity,Low-stock Message
"803 Claimed! Hurry, only a few left!",Scarcity,Low-stock Message
83% offers claimed. Hurry up!,Scarcity,Low-stock Message
87% offers claimed. Hurry up!,Scarcity,Low-stock Message
89% offers claimed. Hurry up!,Scarcity,Low-stock Message
"894 Claimed! Hurry, only a few left!",Scarcity,Low-stock Message
9 items left,Scarcity,Low-stock Message
90% offers claimed. Hurry up!,Scarcity,Low-stock Message
94% offers claimed. Hurry up!,Scarcity,Low-stock Message
96 ITEM(S) LEFT IN STOCK!,Scarcity,Low-stock Message
ALMOST GONE - only 2 remaining!,Scarcity,Low-stock Message
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,High-demand Message
Almost Sold Out! Only 2 Left.,Scarcity,Low-stock Message
Almost gone! Only 3 left In Stock,Scarcity,Low-stock Message
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,High-demand Message
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,High-demand Message
Availability: 5 items left,Scarcity,Low-stock Message
Availability: In Stock Hurry! Only 8 Left!,Scarcity,Low-stock Message
Availability: Low Stock,Scarcity,Low-stock Message
Availability: Low Stock 4 Remaining,Scarcity,Low-stock Message
Availability: Low in stock today,Scarcity,Low-stock Message
Availability: Only 1 Left,Scarcity,Low-stock Message
Availability: Only 4 Left!,Scarcity,Low-stock Message
"Available, only 2 left",Scarcity,Low-stock Message
BOTTLES LEFT 3,Scarcity,Low-stock Message
Clearance! Only 4 left in stock.,Scarcity,Low-stock Message
Currently 8 left in stock.,Scarcity,Low-stock Message
Currently less than 10 available,Scarcity,Low-stock Message
Don't miss out on this item! There is only 1 left in stock.,Scarcity,Low-stock Message
"Don't miss out, only 2 left in stock",Scarcity,Low-stock Message
"Don't snooze, only 1 left",Scarcity,Low-stock Message
"Due To HIGH Demand, Cart Expires In: 08:41",Scarcity,High-demand Message
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Scarcity,High-demand Message
Fewer than 5 left!,Scarcity,Low-stock Message
Going Fast: Limited Quantities Left!,Scarcity,Low-stock Message
HIGH DEMAND,Scarcity,High-demand Message
HURRY ONLY 1 ITEM LEFT!,Scarcity,Low-stock Message
HURRY ONLY 9 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! 3 left in stock!,Scarcity,Low-stock Message
HURRY! LESS THAN 129 LEFT.,Scarcity,Low-stock Message
HURRY! ONLY 1 IN STOCK!,Scarcity,Low-stock Message
HURRY! ONLY 11 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 14 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! ONLY 2 LEFT!,Scarcity,Low-stock Message
HURRY! ONLY 31 LEFT IN STOCK.,Scarcity,Low-stock Message
HURRY! ONLY 58 LEFT IN STOCK!,Scarcity,Low-stock Message
HURRY! Only a few left in stock!,Scarcity,Low-stock Message
"HURRY, LOW IN STOCK!",Scarcity,Low-stock Message
"HURRY, ONLY 1 LEFT!",Scarcity,Low-stock Message
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Scarcity,Low-stock Message
High demand,Scarcity,High-demand Message
Hurry !! Only 52 left in stock,Scarcity,Low-stock Message
Hurry Low Stock,Scarcity,Low-stock Message
Hurry Up ! Just 2 Items Left in stock,Scarcity,Low-stock Message
Hurry Up! Only 1 Piece Left,Scarcity,Low-stock Message
Hurry only 1 left!,Scarcity,Low-stock Message
Hurry only 2 left,Scarcity,Low-stock Message
Hurry only 8 items left!,Scarcity,Low-stock Message
Hurry up! Only 11 items left,Scarcity,Low-stock Message
Hurry up! Only 4 left in stock,Scarcity,Low-stock Message
Hurry! 1 items left!,Scarcity,Low-stock Message
Hurry! Almost Sold Out...,Scarcity,Low-stock Message
Hurry! Less than 10 left!,Scarcity,Low-stock Message
Hurry! Limited Quantity Available.,Scarcity,Low-stock Message
Hurry! Only 1 Left In Stock,Scarcity,Low-stock Message
Hurry! Only 1 Pair left!,Scarcity,Low-stock Message
Hurry! Only 1 left in size M!!,Scarcity,Low-stock Message
Hurry! Only 1 left in stock,Scarcity,Low-stock Message
Hurry! Only 1 left!,Scarcity,Low-stock Message
Hurry! Only 15 left!,Scarcity,Low-stock Message
Hurry! Only 2 Left,Scarcity,Low-stock Message
Hurry! Only 2 left,Scarcity,Low-stock Message
Hurry! Only 2 left at this price!,Scarcity,Low-stock Message
Hurry! Only 2 left in stock,Scarcity,Low-stock Message
Hurry! Only 2 left in stock!,Scarcity,Low-stock Message
Hurry! Only 2 left!,Scarcity,Low-stock Message
Hurry! Only 3 Left In Stock.,Scarcity,Low-stock Message
Hurry! Only 4 left in stock.,Scarcity,Low-stock Message
Hurry! Only 6 left in stock,Scarcity,Low-stock Message
Hurry! Only 6 left in stock!,Scarcity,Low-stock Message
Hurry! Only 6 left in stock.,Scarcity,Low-stock Message
Hurry! Only 7 left,Scarcity,Low-stock Message
Hurry! Only 7 left in stock.,Scarcity,Low-stock Message
Hurry! Only 9 left in stock.,Scarcity,Low-stock Message
Hurry! Only Limited Items Left,Scarcity,Low-stock Message
Hurry! Only a few of these left,Scarcity,Low-stock Message
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,Low-stock Message
"Hurry, Only a few left!",Scarcity,Low-stock Message
"Hurry, limited quantities left!",Scarcity,Low-stock Message
"Hurry, only 1 left in stock!",Scarcity,Low-stock Message
"Hurry, only 1 left!",Scarcity,Low-stock Message
"Hurry, only 2 left in stock",Scarcity,Low-stock Message
"Hurry, only 2 left in stock!",Scarcity,Low-stock Message
"Hurry, only 3 left!",Scarcity,Low-stock Message
"Hurry, only 302 left.",Scarcity,Low-stock Message
"Hurry, only 5 left",Scarcity,Low-stock Message
"Hurry, only 6 left in stock!",Scarcity,Low-stock Message
"Hurry, only a few left!",Scarcity,Low-stock Message
"Hurry, this style is selling fast!",Scarcity,High-demand Message
IN HIGH DEMAND!,Scarcity,High-demand Message
In Stock (8) Left,Scarcity,Low-stock Message
In Stock - Limited Quantity,Scarcity,Low-stock Message
In Stock Only 5 left!,Scarcity,Low-stock Message
In Stock only 3 left,Scarcity,Low-stock Message
"In Stock, Only 1 Left!",Scarcity,Low-stock Message
In Stock. Only 1 Left!,Scarcity,Low-stock Message
In demand,Scarcity,High-demand Message
In stock | 44 left,Scarcity,Low-stock Message
"In stock, only 1 products left",Scarcity,Low-stock Message
Items in your cart are in VERY high-demand.,Scarcity,High-demand Message
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,High-demand Message
Items in your cart are in high demand.,Scarcity,High-demand Message
Items in your cart are in high demand. But we have reserved your order.,Scarcity,High-demand Message
Items in your cart are selling fast,Scarcity,High-demand Message
JUST 1 LEFT!,Scarcity,Low-stock Message
LAST 1 LEFT,Scarcity,Low-stock Message
LAST CHANCE TO ACTIVATE 10% OFF,Scarcity,Low-stock Message
LESS THAN 5 LEFT!,Scarcity,Low-stock Message
LESS THAN 8 LEFT IN STOCK!,Scarcity,Low-stock Message
LIMITED QUANTITY,Scarcity,Low-stock Message
LIVE REMAINING STOCK,Scarcity,Low-stock Message
LOW IN STOCK!! GET YOURS NOW,Scarcity,Low-stock Message
"LOW IN STOCK, only 2 left",Scarcity,Low-stock Message
LOW STOCK (ONLY 10 LEFT!),Scarcity,Low-stock Message
LOW STOCK: Only 1 left.,Scarcity,Low-stock Message
Last 1 in stock,Scarcity,Low-stock Message
Last 1 left,Scarcity,Low-stock Message
Last chance! Only 1 left,Scarcity,Low-stock Message
Last one available,Scarcity,Low-stock Message
Less than 10 left in stock,Scarcity,Low-stock Message
Less than 10 left!,Scarcity,Low-stock Message
Less than 6 items left,Scarcity,Low-stock Message
Less than 7 left!,Scarcity,Low-stock Message
Limited Availability,Scarcity,Low-stock Message
Limited Quantity,Scarcity,Low-stock Message
Limited Quantity Available,Scarcity,Low-stock Message
Limited Stock,Scarcity,Low-stock Message
Limited Stock!,Scarcity,Low-stock Message
Limited quantity available,Scarcity,Low-stock Message
Limited quantity remaining,Scarcity,Low-stock Message
Limited quantity!,Scarcity,Low-stock Message
Limited stock Only 2 left,Scarcity,Low-stock Message
Limited stock available,Scarcity,Low-stock Message
Limited stock!,Scarcity,Low-stock Message
Limited-time Deal,Scarcity,Low-stock Message
Low In Stock Today,Scarcity,Low-stock Message
Low Stock,Scarcity,Low-stock Message
Low Stock Alert: Only 8 left in inventory,Scarcity,Low-stock Message
Low Stock Only 2 left,Scarcity,Low-stock Message
Low Stock – Selling Fast,Scarcity,Low-stock Message
Low Stock! Only 3 left.,Scarcity,Low-stock Message
Low in stock,Scarcity,Low-stock Message
Low in stock: only 1 left.,Scarcity,Low-stock Message
Low in stock: only 2 left.,Scarcity,Low-stock Message
"ONCE IT'S GONE, IT'S GONE",Scarcity,High-demand Message
ONLY 1 ITEM LEFT,Scarcity,Low-stock Message
ONLY 1 ITEM LEFT!,Scarcity,Low-stock Message
ONLY 1 LEFT,Scarcity,Low-stock Message
ONLY 1 LEFT IN STOCK,Scarcity,Low-stock Message
ONLY 1 LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 1 LEFT IN THIS SIZE,Scarcity,Low-stock Message
ONLY 1 LEFT!,Scarcity,Low-stock Message
ONLY 1 LEFT! GET IT NOW!,Scarcity,Low-stock Message
ONLY 1 REMAINING,Scarcity,Low-stock Message
ONLY 1 WATCH LEFT,Scarcity,Low-stock Message
ONLY 11 LEFT,Scarcity,Low-stock Message
ONLY 12.5M LEFT IN STOCK!,Scarcity,Low-stock Message
ONLY 13 LEFT,Scarcity,Low-stock Message
ONLY 14 LEFT AT THIS PRICE,Scarcity,Low-stock Message
ONLY 2 LEFT,Scarcity,Low-stock Message
