String,Type,Predicate
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Social Proof,Activity Notification
OH SO POPULAR! 21 bought in the last 7 days.,Social Proof,Activity Notification
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Social Proof,Activity Notification
One customer bought this article in the last 53 min.,Social Proof,Activity Notification
"Oscar from Cajamarca, Peru purchased",Social Proof,Activity Notification
Other 2 customers have it in their cart.,Social Proof,Activity Notification
Other people want this. 10 people have this in their cart right now.,Social Proof,Activity Notification
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",Social Proof,Activity Notification
Over 200 views in 24 hrs,Social Proof,Activity Notification
Over 238 people have bought this product,Social Proof,Activity Notification
Over 38 bought,Social Proof,Activity Notification
POPULAR 62 others checked this out in the last few hours.,Social Proof,Activity Notification
POPULAR 64 others checked this out in the last few hours.,Social Proof,Activity Notification
Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,Social Proof,Activity Notification
Popular item! 🔥 27 people recently purchased this.,Social Proof,Activity Notification
Purchased 100+ times in the last few days.,Social Proof,Activity Notification
Purchased 6 times this week.,Social Proof,Activity Notification
Purchased 8 times in the last few days.,Social Proof,Activity Notification
RECENTLY VIEWED 2 others viewed this in the last few hours,Social Proof,Activity Notification
Real time 30 Visitor right now,Social Proof,Activity Notification
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,Activity Notification
"Rick in Columbia, United States purchased a",Social Proof,Activity Notification
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,Activity Notification
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated",Social Proof,Activity Notification
"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",Social Proof,Activity Notification
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Social Proof,Activity Notification
Sara from Philadelphia just saved $68 on her order.,Social Proof,Activity Notification
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Social Proof,Activity Notification
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof,Activity Notification
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Social Proof,Activity Notification
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Social Proof,Activity Notification
"Sierra in Cypress, California bought Beauty In All Dress, Dusty Blue about 46 minutes ago",Social Proof,Activity Notification
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Social Proof,Activity Notification
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Social Proof,Activity Notification
Someone from Airdrie & 10820 others bought this item recently.,Social Proof,Activity Notification
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,Activity Notification
"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",Social Proof,Activity Notification
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Social Proof,Activity Notification
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof,Activity Notification
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Social Proof,Activity Notification
"Someone from Portland, United States (US) purchased MODALERT recently.",Social Proof,Activity Notification
"Someone from Rochedale, Queensland, Australia started buying this!",Social Proof,Activity Notification
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Social Proof,Activity Notification
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Social Proof,Activity Notification
"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",Social Proof,Activity Notification
"Someone in Ampang, Malaysia just bought",Social Proof,Activity Notification
"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",Social Proof,Activity Notification
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Social Proof,Activity Notification
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Social Proof,Activity Notification
"Someone in Byron Bay, NSW just bought",Social Proof,Activity Notification
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Social Proof,Activity Notification
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Social Proof,Activity Notification
Someone in Castle Hill bought a Philips Essential LED Downlight Kit | 5W 4000K few hours ago.,Social Proof,Activity Notification
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Social Proof,Activity Notification
"Someone in Chambersburg, Pennsylvania purchased",Social Proof,Activity Notification
"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",Social Proof,Activity Notification
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof,Activity Notification
Someone in Egypt bought,Social Proof,Activity Notification
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Social Proof,Activity Notification
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Social Proof,Activity Notification
"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",Social Proof,Activity Notification
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof,Activity Notification
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof,Activity Notification
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Social Proof,Activity Notification
"Someone in Madrid, Spain just bought",Social Proof,Activity Notification
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Social Proof,Activity Notification
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Social Proof,Activity Notification
"Someone in Paris, France just purchased a Kanpeki Knife Set",Social Proof,Activity Notification
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Social Proof,Activity Notification
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Social Proof,Activity Notification
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Social Proof,Activity Notification
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Social Proof,Activity Notification
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Social Proof,Activity Notification
"Someone in Sasebo, Japan just bought",Social Proof,Activity Notification
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Social Proof,Activity Notification
Someone in Spain purchased,Social Proof,Activity Notification
"Someone in Tornado, United States just bought Fresh Melon Menthol 2 hours ago",Social Proof,Activity Notification
Someone in United States just purchased a,Social Proof,Activity Notification
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Social Proof,Activity Notification
Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,Social Proof,Activity Notification
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,Social Proof,Activity Notification
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Social Proof,Activity Notification
"Son in Suisun City, United States purchased Commander Lex",Social Proof,Activity Notification
"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",Social Proof,Activity Notification
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Social Proof,Activity Notification
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",Social Proof,Activity Notification
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof,Activity Notification
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair",Social Proof,Activity Notification
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Social Proof,Activity Notification
This is in 5 other carts.,Social Proof,Activity Notification
This product was viewed 26 seconds ago by someone from Princeton,Social Proof,Activity Notification
Trending Style! Sold 4 times today,Social Proof,Activity Notification
Trending now! Added to basket 38 times today,Social Proof,Activity Notification
Trending now! Added to basket 490 times today,Social Proof,Activity Notification
"Trey in Columbia, United States purchased Leather Cord Capsule",Social Proof,Activity Notification
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Social Proof,Activity Notification
"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",Social Proof,Activity Notification
"Tyler in Norwalk, United States purchased a",Social Proof,Activity Notification
Viewed 1040 times in the last 7 days,Social Proof,Activity Notification
Viewed 744 times today,Social Proof,Activity Notification
What people are saying about us...,Social Proof,Testimonials of Uncertain Origin
"William in Pago Pago, United States purchased a",Social Proof,Activity Notification
"estiven in Deer Park, United States purchased PreWash™ 4 oz",Social Proof,Activity Notification
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Social Proof,Activity Notification
"mark in richmond hill, United States purchased a Fugoo Tough 11 minutes ago",Social Proof,Activity Notification
nan,Social Proof,Testimonials of Uncertain Origin
"tuvia eisenberg Systematics in Tel Aviv, Israel purchased a",Social Proof,Activity Notification
🔥 2 people are looking right now,Social Proof,Activity Notification
🔥 9 people are viewing this.,Social Proof,Activity Notification
🔥👁️ 1 person is viewing this.,Social Proof,Activity Notification
"$3,159.20 $3,949.00 Limited time only",Urgency,Limited-time Message
$69.50 For A Limited Time Details,Urgency,Limited-time Message
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Urgency,Limited-time Message
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,Limited-time Message
-90% discount if you order within 9:55:44,Urgency,Countdown Timer
0 DAYS22 HOURS13 MINUTES21 SECONDS,Urgency,Countdown Timer
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency,Countdown Timer
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Urgency,Countdown Timer
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,Urgency,Countdown Timer
00 HRS 57 MINS 56 SECS,Urgency,Countdown Timer
0011Days:0088Hours:4411Minutes:21125445Seconds,Urgency,Countdown Timer
00:15:07:45,Urgency,Countdown Timer
00DAYS00HOURS14MINUTES21SECONDS,Urgency,Countdown Timer
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Urgency,Countdown Timer
00DAYS02HRS14MINS1211SEC,Urgency,Countdown Timer
00DAYS07HOURS09MINUTES39SECONDS,Urgency,Countdown Timer
00Days17Hours12Mins13Secs,Urgency,Countdown Timer
01 Hours 37 Minutes 48 Seconds 1/10s,Urgency,Countdown Timer
02 DAYS :23 HOURS :00 MINS :54 SECS,Urgency,Countdown Timer
02:06:40 left to buy,Urgency,Countdown Timer
0:44:56,Urgency,Countdown Timer
1 day 08:15:25,Urgency,Countdown Timer
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Urgency,Countdown Timer
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Urgency,Countdown Timer
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,Countdown Timer
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency,Countdown Timer
1day21:04:58,Urgency,Countdown Timer
2 DAYS 13:06:13,Urgency,Countdown Timer
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Urgency,Limited-time Message
25% OFF SELECTED JACKETS Limited Time,Urgency,Limited-time Message
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,Countdown Timer
2day 13:49:51 Left,Urgency,Countdown Timer
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Urgency,Countdown Timer
3DAYS124606,Urgency,Countdown Timer
3Days01:49:51 Left,Urgency,Countdown Timer
4 days 05:46:20,Urgency,Countdown Timer
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80,Urgency,Limited-time Message
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Urgency,Limited-time Message
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Urgency,Countdown Timer
50% OFF for Limited Time Only!!!,Urgency,Limited-time Message
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,Urgency,Countdown Timer
Act now and save $12.99. Limited time only!,Urgency,Limited-time Message
Activate within 0:30:00,Urgency,Countdown Timer
BE QUICK 00:57:33 DON'T MISS OUT,Urgency,Countdown Timer
Cart will expire in 04:53 minutes!,Urgency,Countdown Timer
Cart will expire in 08:19 minutes!,Urgency,Countdown Timer
Checkout within 04:10 so we don't run out of stock!,Urgency,Countdown Timer
Complete your purchase within the next 12:18 minutes and receive 10% off,Urgency,Countdown Timer
DAYS HRS MINS SECS,Urgency,Countdown Timer
DEAL ENDS IN 40:55:13,Urgency,Countdown Timer
Days left until the offer ends: 00 Days 04:43:35,Urgency,Countdown Timer
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Urgency,Countdown Timer
Deal expires in: 03 hrs 25 mins 22 sec,Urgency,Countdown Timer
Discount pending $10 OFF 00:30:00,Urgency,Countdown Timer
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,Countdown Timer
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,Urgency,Countdown Timer
EXTRA -30% OFF WITH CODE: EXTRA30 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,Urgency,Countdown Timer
Ends Sunday! $200 off any mattress . free shipping & free returns!,Urgency,Limited-time Message
"Ends in 1 Days, 4 Minutes, 44 Seconds",Urgency,Countdown Timer
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,Urgency,Countdown Timer
Explosive Offers! 80% Off Everything 07:25:41,Urgency,Countdown Timer
FLASH 19:15:22,Urgency,Countdown Timer
FLASH SALE | LIMITED TIME ONLY Shop Now,Urgency,Limited-time Message
FOR A LIMITED TIME ONLY,Urgency,Limited-time Message
FRAMON #2 Code Machine Offer - Limited time offer!,Urgency,Limited-time Message
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Urgency,Countdown Timer
FREE SHIPPING // FOR A LIMITED TIME ONLY,Urgency,Limited-time Message
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency,Limited-time Message
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Urgency,Countdown Timer
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Urgency,Limited-time Message
Flash Sale ends in SHOP NOW,Urgency,Countdown Timer
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Urgency,Limited-time Message
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,Limited-time Message
Free Shipping. Limited Time Only. for orders over $50,Urgency,Limited-time Message
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency,Limited-time Message
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Urgency,Limited-time Message
Get 20% off Sample Doors! ×Offer Ends In 58 : 29 Use Promo Code sample20off,Urgency,Countdown Timer
HAUTELOOK 04:53,Urgency,Countdown Timer
HURRY UP > 09H 42M 39S,Urgency,Countdown Timer
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,Urgency,Countdown Timer
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,Urgency,Countdown Timer
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Urgency,Countdown Timer
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Urgency,Countdown Timer
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Urgency,Countdown Timer
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,Limited-time Message
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Urgency,Countdown Timer
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,Limited-time Message
Hot Offer. Limited Time,Urgency,Limited-time Message
Hurry Up ! Time is running out,Urgency,Countdown Timer
Hurry up! Discount Ends in DAYS HRS MINS SECS,Urgency,Countdown Timer
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency,Countdown Timer
Hurry up! Sale Ends in,Urgency,Countdown Timer
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing,Urgency,Countdown Timer
"Hurry! Sale Ends In:

02:59:50",Urgency,Countdown Timer
Hurry! Sale ends in:,Urgency,Countdown Timer
Hurry! This special sale ends in 2h 42m 0s,Urgency,Countdown Timer
"Hurry, Limited Time Offer! 11:25",Urgency,Countdown Timer
"Hurry, Sale ends in 9 Hours!",Urgency,Countdown Timer
"Hurry, before it is gone! Limited time remaining!",Urgency,Limited-time Message
Items reserved for 15:00,Urgency,Countdown Timer
Items will be reserved in your cart for 19:10,Urgency,Countdown Timer
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency,Countdown Timer
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency,Countdown Timer
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Urgency,Limited-time Message
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,Limited-time Message
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Urgency,Limited-time Message
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency,Limited-time Message
LIMITED TIME DEAL!,Urgency,Limited-time Message
LIMITED TIME LEFT! 00 : 46 : 11,Urgency,Countdown Timer
LIMITED TIME OFFER,Urgency,Limited-time Message
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Urgency,Limited-time Message
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency,Limited-time Message
LIMITED TIME OFFER!,Urgency,Limited-time Message
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Urgency,Limited-time Message
LIMITED TIME ONLY,Urgency,Limited-time Message
LIMITED TIME ONLY *on select models,Urgency,Limited-time Message
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,Limited-time Message
LIMITED TIME ONLY!,Urgency,Limited-time Message
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,Limited-time Message
LIMITED TIME SALE,Urgency,Limited-time Message
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency,Limited-time Message
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Urgency,Limited-time Message
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,Limited-time Message
Limited Time,Urgency,Limited-time Message
Limited Time Offer,Urgency,Limited-time Message
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Urgency,Limited-time Message
Limited Time Offer!,Urgency,Limited-time Message
Limited Time Offer: 10% Off your first order!,Urgency,Limited-time Message
Limited Time Offers,Urgency,Limited-time Message
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency,Limited-time Message
Limited Time Only · Online Only,Urgency,Limited-time Message
Limited Time Only! 20% Off,Urgency,Limited-time Message
Limited Time Promo $194.00,Urgency,Limited-time Message
Limited Time Remaining!,Urgency,Limited-time Message
Limited Time Sale - Buy Now!,Urgency,Limited-time Message
Limited Time!,Urgency,Limited-time Message
Limited Time: $10 Off! Discount Reflected In Price!,Urgency,Limited-time Message
Limited time - Free Shipping on all orders*,Urgency,Limited-time Message
Limited time - final price reflects extra 29% off,Urgency,Limited-time Message
Limited time offer,Urgency,Limited-time Message
Limited time offer.,Urgency,Limited-time Message
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Urgency,Limited-time Message
Limited time remaining!,Urgency,Limited-time Message
Massive Tax Time Sale See Discounts! Sale ends in,Urgency,Countdown Timer
"Now 20% off, hurry limited time offer!",Urgency,Limited-time Message
"Now 30% off - hurry, limited time offer!",Urgency,Limited-time Message
OFFER ENDS 00:54:59,Urgency,Countdown Timer
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,Countdown Timer
OFFER ENDS: 09h: 09m: 55s: 0,Urgency,Countdown Timer
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Urgency,Countdown Timer
ON SALE AT $1.99 FOR A LIMITED TIME,Urgency,Limited-time Message
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency,Limited-time Message
ONLY AVAILABLE FOR A LIMITED TIME,Urgency,Limited-time Message
Offer ends 0Hours:04Minutes:46Seconds,Urgency,Countdown Timer
Offer ends in,Urgency,Countdown Timer
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Urgency,Countdown Timer
Offer ends in 15hrs 1min 56sec!,Urgency,Countdown Timer
Offer ends in 9hrs 55min 29sec!,Urgency,Countdown Timer
On Sale! Limited Time Offer!,Urgency,Limited-time Message
"Only available for a LIMITED TIME, so get yours TODAY!",Urgency,Limited-time Message
Order in 13:16 to get $200 off your mattress,Urgency,Countdown Timer
Order in 14:53 to get 2 pillows for free,Urgency,Countdown Timer
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Urgency,Countdown Timer
Price Guaranteed For DAYS/HRS/MINS/SECS,Urgency,Countdown Timer
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,Limited-time Message
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,Countdown Timer
SAVE $200 OFF PUFFY,Urgency,Countdown Timer
SAVE $300.00\nfor limited time,Urgency,Limited-time Message
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,Countdown Timer
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,Limited-time Message
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Urgency,Limited-time Message
STOCK IS GUARANTEED FOR 60 MINUTES,Urgency,Limited-time Message
Sale Ends in 5 days 14 hours 42 mins 53 sec,Urgency,Countdown Timer
Sale ending in 0 days 04 hours 12 minutes 10 seconds,Urgency,Countdown Timer
Sale ends soon,Urgency,Limited-time Message
Sale ends soon:,Urgency,Limited-time Message
"Save 25% on your entire order 09 Hours 57 Minutes 34Seconds use code: SPRING25""",Urgency,Countdown Timer
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,Limited-time Message
Special sale ends in,Urgency,Countdown Timer
Spring Sale Extended,Urgency,Countdown Timer
Time remaining: 04:50,Urgency,Countdown Timer
Today's sale ends in: 00hours:57min:19sec,Urgency,Countdown Timer
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Urgency,Countdown Timer
VIP OFFERS END 00:54:59,Urgency,Countdown Timer
Wait! Take 10% off Your First Order Deal Expires Soon!,Urgency,Limited-time Message
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,Urgency,Countdown Timer
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Urgency,Countdown Timer
You left 2 items in your bag Released in: 29 minutes :07 seconds,Urgency,Countdown Timer
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,Urgency,Countdown Timer
Your cart is reserved for 09:35 minutes.,Urgency,Countdown Timer
Your cart is reserved for 14:05 minutes!,Urgency,Countdown Timer
Your cart is reserved for 14:57 minutes!,Urgency,Countdown Timer
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,Countdown Timer
Your order has been reserved for,Urgency,Countdown Timer
Your order is prioritized for 13:22 minutes!,Urgency,Countdown Timer
Your order is reserved for 07:28 minutes!,Urgency,Countdown Timer
Your order is reserved for 08:48 minutes!,Urgency,Countdown Timer
Your order is reserved for 08:53 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:14 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:35 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:43 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:45 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:54 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:56 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:57 minutes!,Urgency,Countdown Timer
Your order is reserved for 09:58 minutes!,Urgency,Countdown Timer
Your order is reserved for 19:57 minutes.,Urgency,Countdown Timer
Your order is reserved for 29:52 minutes!,Urgency,Countdown Timer
Your order will be reserved for 6:56 minutes.,Urgency,Countdown Timer
activate within 10:00,Urgency,Countdown Timer
nan,Urgency,Countdown Timer
