global_cluster_id,canonical_norm_global,canonical_example_global,total_collapsed_count,n_members,majority_predicate,is_mixed_predicates
0,no i don t feel lucky,"No, I don't feel lucky",35,2,Confirmshaming,1
1,no thanks i d rather pay full price,"No thanks, I'd rather pay full price.",26,1,Confirmshaming,0
2,no thanks i ll pay full price,"No thanks, I'll pay full price!",15,1,Confirmshaming,0
3,<num> person have purchase this item,"2,221 people have purchased this item",11,1,Activity Notifications,0
4,<num> sold in last <num> hours,156 sold in last 24 hours,10,1,Activity Notifications,0
5,<num> person have view this item,161 people have viewed this item,10,1,Activity Notifications,0
14,no thanks i don t want to save money,"NO THANKS, I DON'T WANT TO SAVE MONEY",9,2,Confirmshaming,0
6,no thanks i don t want a discount,"No Thanks, I Don't Want a Discount",9,1,Confirmshaming,0
7,recommended option selected you can modify later,Recommended option selected (you can modify later).,9,1,Pressured Selling,0
8,no thanks i prefer paying full price,"No Thanks, I Prefer Paying Full Price",9,1,Confirmshaming,0
9,no thanks i don t like free stuff,"No thanks, I don't like FREE stuff.",8,1,Confirmshaming,0
10,<num> person are view this,9 people are viewing this.,8,1,Activity Notifications,0
11,<num> person have added this item to cart,17 people have added this item to cart,8,1,Activity Notifications,0
15,no thanks i don t like saving money,"No Thanks, I Don't Like Saving Money.",7,1,Confirmshaming,0
12,<num> users are currently active on our website just now,40 users are currently active on our website just now.,7,1,Activity Notifications,0
13,processing will be faster with express checkout selected,Processing will be faster with Express Checkout (selected).,7,1,Pressured Selling,0
16,no thanks i don t want to save,"No thanks, I don’t want to save",6,1,Confirmshaming,0
17,no thanks i don t like discounts,"No thanks, I don't like discounts",6,1,Confirmshaming,0
18,best value pre-selected for you change anytime,Best value pre-selected for you (change anytime).,6,1,Pressured Selling,0
19,no thanks i like paying full price,"No thanks, I like paying full price",6,1,Confirmshaming,0
20,no thanks i d rather pay more,"No thanks, I’d rather pay more",6,1,Confirmshaming,0
21,<num> bought,143 BOUGHT,6,1,Activity Notifications,0
24,your discount is applied additional service fee may appear at checkout,Your discount is applied.*  *Additional service fee may appear at checkout.,5,1,Trick Questions,0
25,almost there confirm details to receive extra coupon,Almost there—confirm details to receive extra coupon.,5,1,Pressured Selling,0
22,you re almost done click next to get started,You’re almost done! Click ‘Next’ to get started.,5,1,Trick Questions,0
23,no thanks i don t want <num> off,"NO THANKS, I DON’T WANT 15% OFF",5,1,Confirmshaming,0
34,no thanks i don t like exclusive offers,"No Thanks, I Don't Like Exclusive Offers.",4,1,Confirmshaming,0
40,popular <num> others checked this out in the last few hours,POPULAR 64 others checked this out in the last few hours.,4,1,Activity Notifications,0
39,no thanks i don t want a free gift,"No thanks, I don't want a free gift.",4,1,Confirmshaming,0
38,trending now added to basket <num> times today,Trending now! Added to basket 38 times today,4,1,Activity Notifications,0
37,almost there confirm details to receive bonus points,Almost there—confirm details to receive bonus points.,4,1,Trick Questions,0
36,<num> customers have this in their basket,6 customers have this in their basket,4,1,Activity Notifications,0
26,<num> person are looking at this now,52 people are looking at this right now.,4,1,Activity Notifications,0
35,almost there confirm details to receive free gift,Almost there—confirm details to receive free gift.,4,1,Pressured Selling,0
33,no thanks i don t like deals,"No thanks, I don't like deals.",4,1,Confirmshaming,0
32,purchased <num> times in the last few days,Purchased 8 times in the last few days.,4,1,Activity Notifications,0
31,no thanks i don t like winning,"No thanks, I don't like winning",4,1,Confirmshaming,0
30,no thanks i don t like to save,"No thanks, I don't like to save",4,1,Confirmshaming,0
29,almost there confirm details to receive exclusive access,Almost there—confirm details to receive exclusive access.,4,1,Pressured Selling,0
28,<num> view this product,72 Viewing This Product,4,1,Activity Notifications,0
27,compare at,Compare at,4,1,Trick Questions,0
45,<num> person seeing this product right now,1626 people seeing this product right now,3,1,Activity Notifications,0
48,<num> have it in their cart,31 have it in their cart,3,1,Activity Notifications,0
47,<num> person have looked at this in the last few hrs,6 people have looked at this in the last few hrs.,3,1,Activity Notifications,0
46,<num> recent purchase it,12 recently purchased it.,3,1,Activity Notifications,0
42,no i ll pay full price,"NO, I'LL PAY FULL PRICE",3,1,Confirmshaming,0
44,hurry up <num> person other than you have this product in their cart,Hurry up! 22 people other than you have this product in their cart,3,1,Activity Notifications,0
43,<num> person are looking right now,🔥 2 people are looking right now,3,1,Activity Notifications,0
41,your free gift is ready press continue to proceed,Your free gift is ready—press 'Continue' to proceed.,3,1,Pressured Selling,0
235,someone in cashmere bought a rcm cosworth timing belt kit <num> - <num> my ej <num> <num> <num> hour ago,"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",2,1,Activity Notifications,0
236,someone in canberra purchase nadv <num> austracantha about <num> minutes ago,Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,2,1,Activity Notifications,0
237,someone in byron bay nsw just bought,"Someone in Byron Bay, NSW just bought",2,1,Activity Notifications,0
238,someone in boling iago texas united states purchase seek discomfort sketch white iphone case <num> hours ago,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,2,1,Activity Notifications,0
239,someone in bacchus marsh bought a noosa basics deodorant stick - sensitive <num> g <num> seconds ago,Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,2,1,Activity Notifications,0
240,someone in arden hills united states purchase <num> ml young napoleon best strawberry shortcake ejuice vaporham lincoln eliquid about <num> minutes ago,"Someone in Arden Hills, United States purchased 120ml Young Napoleon | Best Strawberry Shortcake eJuice | Vaporham Lincoln eLiquid about 42 minutes ago",2,1,Activity Notifications,0
234,someone from purchase a holees original ladies ii - navy about <num> hours ago,Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,2,1,Activity Notifications,0
242,someone in culgoa australia purchase savelli epic mens comfortable leather lace up boots made in brazil,"Someone in Culgoa, Australia purchased Savelli Epic Mens Comfortable Leather Lace Up Boots Made In Brazil",2,1,Activity Notifications,0
243,<num> person have bought this product today,93 PEOPLE HAVE BOUGHT THIS PRODUCT TODAY,2,1,Activity Notifications,0
244,<num> person have it in their cart,7 people have it in their cart,2,1,Activity Notifications,0
245,<num> customers are considering this product now,80 Customers are considering this product right now.,2,1,Activity Notifications,0
246,someone from south gate california just purchase the admiral jr spektrum servo connector plug set male and female - <num> pairs,"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",2,1,Activity Notifications,0
247,<num> bought already,227 Bought Already,2,1,Activity Notifications,0
248,<num> added to bag in the past <num> hours,45 ADDED TO BAG IN THE PAST 24 HOURS,2,1,Activity Notifications,0
249,<num> person are looking at this listing now,2 people are looking at this listing now,2,1,Activity Notifications,0
241,denise in saluda virginia bought terani couture - <num> e <num> embroidered asymmetric neck mermaid gown,"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",2,1,Activity Notifications,0
250,<num> person are looking at this right now,99 people are looking at this right now,2,1,Activity Notifications,0
251,<num> person like this,77 PEOPLE LIKE THIS,2,1,Activity Notifications,0
252,<num> person are view this currently,1 people are viewing this currently,2,1,Activity Notifications,0
232,<num> person have already bought that product today with <num> discount,61 people have already bought that product today with 50% discount,2,1,Activity Notifications,0
266,ibkul solid mock neck half zip pullover purchase from clinton md us <num> minute ago,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",2,1,Activity Notifications,0
265,hayden near princeton just bought cbd vegan gummies,Hayden near Princeton just bought!!!: CBD VEGAN GUMMIES,2,1,Activity Notifications,0
264,someone from airdrie <num> others bought this item recent,Someone from Airdrie & 10820 others bought this item recently.,2,1,Activity Notifications,0
263,someone from cape town western cape south africa just started buy packable travel duffel bag <num> minutes ago,"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",2,1,Activity Notifications,0
262,someone from huntingtown maryland united states purchase topcoat f <num> polish sealer - web special kits just now,"Someone from Huntingtown, Maryland, United States purchased TopCoat® F11® Polish & Sealer - Web Special Kits Just Now",2,1,Activity Notifications,0
261,<num> person just view this product,2+ people just viewed this product,2,1,Activity Notifications,0
260,<num> person have looked at this today,57 PEOPLE HAVE LOOKED AT THIS TODAY,2,1,Activity Notifications,0
259,<num> person have this in their cart,39 people have this in their cart,2,1,Activity Notifications,0
258,<num> person have view in the last <num> hrs,113 people have viewed in the last 24hrs,2,1,Activity Notifications,0
257,<num> person have view this product recent,228 People Have Viewed This Product Recently!,2,1,Activity Notifications,0
256,<num> person have view this wine today,17 people have viewed this wine today,2,1,Activity Notifications,0
255,<num> person is looking at this item,1 person is looking at this item.,2,1,Activity Notifications,0
254,<num> person is view this,🔥👁️ 1 person is viewing this.,2,1,Activity Notifications,0
253,<num> person have looked at this item in the last few hours,62 people have looked at this item in the last few hours.,2,1,Activity Notifications,0
233,jacob in seymour wisconsin united states purchase a bass xl just now,"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",2,1,Activity Notifications,0
208,add to wish list <num> person have added,Add to Wish List(13 People Have Added),2,1,Activity Notifications,0
231,crystal li in flushing united states purchase a,"Crystal Li in Flushing, United States purchased a",2,1,Activity Notifications,0
204,<num> users bought this product touch the set - touch xl touchup makeup mirror bundle,64 users bought this product Touch: The Set - Touch XL & TouchUp Makeup Mirror Bundle,2,1,Activity Notifications,0
210,cheryl in ontario bought <num> organic reishi mushroom powder <num> g about <num> minutes ago,Cheryl in Ontario bought 100% Organic Reishi Mushroom Powder 100g about 16 minutes ago,2,1,Activity Notifications,0
209,<num> view per day,308 viewed per day,2,1,Activity Notifications,0
268,in other users carts <num>,In other users' carts 59,2,1,Activity Notifications,0
207,<num> person have looked at this in the last couple of hrs,2 people have looked at this in the last couple of hrs.,2,1,Activity Notifications,0
206,someone from rochedale queensland australia started buy this,"Someone from Rochedale, Queensland, Australia started buying this!",2,1,Activity Notifications,0
205,someone from portland united states us purchase modalert recent,"Someone from Portland, United States (US) purchased MODALERT recently.",2,1,Activity Notifications,0
203,bought by <num> person in last few hours hot seller,Bought by 39 people in last few hours! HOT SELLER!,2,1,Activity Notifications,0
212,<num> customers recent bought it,2 customers recently bought it,2,1,Activity Notifications,0
202,bobby in decatur united states just purchased,"Bobby in Decatur, United States just purchased",2,1,Activity Notifications,0
201,bernard in philadelphia united states purchase a,"BERNARD in Philadelphia, United States purchased a",2,1,Activity Notifications,0
200,<num> person are looking at this product right now,5 people are looking at this product right now,2,1,Activity Notifications,0
199,<num> customers view this product today,12 customers viewed this product today!,2,1,Activity Notifications,0
198,<num> orders,404 Orders,2,1,Activity Notifications,0
197,<num> other customers have this item in their shopping cart,1 other customers have this item in their shopping cart,2,1,Activity Notifications,0
211,collin p from grandview missouri just bought burgundy two button suit about <num> seconds ago,Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,2,1,Activity Notifications,0
213,<num> person view this today,11 people viewed this today!,2,1,Activity Notifications,0
230,<num> person bought jotter to do refill in the last few hours,1 people bought Jotter To Do Refill in the last few hours,2,1,Activity Notifications,0
223,<num> customers have bought today,8 customers have bought today,2,1,Activity Notifications,0
229,<num> person bought this item last week,3 people bought this item last week.,2,1,Activity Notifications,0
228,<num> person currently interested,24 people currently interested,2,1,Activity Notifications,0
227,<num> person have added this item to their cart today,2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,2,1,Activity Notifications,0
226,<num> person have added this to their cart,13 people have added this to their cart,2,1,Activity Notifications,0
225,<num> person have added to cart recently,"1,142 people have added to cart recently",2,1,Activity Notifications,0
224,<num> customers bought this in the last <num> hours,92 customers bought this in the last 48 hours,2,1,Activity Notifications,0
222,<num> customers have view this item recently,407 customers have viewed this item recently,2,1,Activity Notifications,0
215,<num> units sold in the last <num> days,273 units sold in the last 30 days,2,1,Activity Notifications,0
221,<num> users have looked at this product in the past <num> minutes,7 users have looked at this product in the past 6 minutes,2,1,Activity Notifications,0
220,<num> sold in the last <num> days,2049 sold in the last 7 days,2,1,Activity Notifications,0
219,<num> sold in past <num> months,1044 sold in past 12 months,2,1,Activity Notifications,0
218,carl f from fort ann ny bought a king,"Carl F. from Fort Ann, NY bought a King",2,1,Activity Notifications,0
217,<num> person viewing,3 PEOPLE VIEWING,2,1,Activity Notifications,0
216,chelsea in burlington wisconsin bought take out the boat jumpsuit blackabout <num> minutes ago,"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",2,1,Activity Notifications,0
267,in <num> person s shopping bag,IN 43 PEOPLE'S SHOPPING BAG,2,1,Activity Notifications,0
292,most popular,MOST POPULAR,2,1,Activity Notifications,0
269,james from colonia purchase a,James from Colonia purchased a,2,1,Activity Notifications,0
306,trey in sparta united states purchase stealth angel ultra lightweight portable sleeping bag about <num> minutes ago,"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",2,1,Activity Notifications,0
322,synne kristine in halden bought classic bokksu subscription billed every <num> month ships every <num> months about <num> minutes ago,"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",2,1,Activity Notifications,0
321,this is in <num> other carts,This is in 5 other carts.,2,1,Activity Notifications,0
320,someone in cedarhurst united states purchase a sproet and sprout shell violet stripe bloomers,"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",2,1,Activity Notifications,0
319,someone bought hype blue large splat kids leggings,Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,2,1,Activity Notifications,0
318,someone added <num> pc <num> ocean natural stone beads beaded bracelet men boho handmade to their cart right now,Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,2,1,Activity Notifications,0
317,sandeep in hawthorne california bought sadie ponte pants - black just now,"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",2,1,Activity Notifications,0
316,samuel in minneapolis united states purchase a pod juice jewel mint cool nicotine salt e-liquid <num> <num> ml <num> hours ago,"Samuel in Minneapolis, United States purchased a Pod Juice Jewel Mint Cool ❄️Nicotine Salt e-Liquid 15/30ml 7 hours ago",2,1,Activity Notifications,0
315,don t let em get away several person have recent view this item,DON'T LET 'EM GET AWAY Several people have recently viewed this item.,2,1,Activity Notifications,0
314,rick in columbia united states purchase a,"Rick in Columbia, United States purchased a",2,1,Activity Notifications,0
313,recently view <num> others view this in the last few hours,RECENTLY VIEWED 2 others viewed this in the last few hours,2,1,Activity Notifications,0
312,someone in joliet illinois purchase a yocan evolve plus xl vaporizer,"Someone in Joliet, Illinois purchased a Yocan Evolve Plus XL Vaporizer",2,1,Activity Notifications,0
311,this product has been view <num> times in the last <num> hours,THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,2,1,Activity Notifications,0
310,real time <num> visitor right now,Real time 30 Visitor right now,2,1,Activity Notifications,0
309,someone purchase a forward revive women s red white hustle t-shirt <num> minutes ago,Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,2,1,Activity Notifications,0
308,viewed <num> times in the last <num> days,Viewed 1040 times in the last 7 days,2,1,Activity Notifications,0
323,stacey in saint marys united states purchase extra long <num> ft fiber cloth sync charge usb android cable - assorted colors about <num> minutes ago,"Stacey in Saint Marys, United States purchased Extra Long (10 Ft) Fiber Cloth Sync & Charge USB Android Cable - Assorted Colors about 30 minutes ago",2,1,Activity Notifications,0
324,<num> added to bag in the last <num> hrs,43 added to bag in the last 48hrs,2,1,Activity Notifications,0
325,rebecca in buffalo just bought sateen twill swatchabout <num> hour ago,Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,2,1,Activity Notifications,0
334,someone in united states just purchase a,Someone in United States just purchased a,2,1,Activity Notifications,0
340,someone in alexandria united states just bought ttdeye queen green colored contact lenses,"Someone in Alexandria, United States just bought TTDeye Queen Green Colored Contact Lenses",2,1,Activity Notifications,0
339,leah rich in louisville united states purchase a,"Leah Rich in Louisville, United States purchased a",2,1,Activity Notifications,0
338,son in suisun city united states purchase commander lex,"Son in Suisun City, United States purchased Commander Lex",2,1,Activity Notifications,0
337,someone in yanchep bought a <num> mm mechanical performance boost gauge - blue white <num> seconds ago,Someone in Yanchep bought a 52mm Mechanical 'Performance' Boost Gauge - Blue/White 9 seconds ago,2,1,Activity Notifications,0
336,someone in keilor east bought a piranta-edge skinning knife - blaze - havalon knives <num> minutes ago,Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,2,1,Activity Notifications,0
335,someone in vancouver washington purchase a orthofeet men s orthotic insoles about <num> minutes,"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",2,1,Activity Notifications,0
333,someone in spain purchased,Someone in Spain purchased,2,1,Activity Notifications,0
326,someone in kilwinning united kingdom just bought cuban link chain bracelet,"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",2,1,Activity Notifications,0
332,someone in shelby twp united states just bought galaxy note <num> <num> mah zeroshock battery case <num> days ago,"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",2,1,Activity Notifications,0
331,someone in san diego united states just bought gemfield watch <num> days ago,"Someone in San diego, United States just bought Gemfield Watch 15 days ago",2,1,Activity Notifications,0
330,someone in saint kilda victoria purchase frank queen size bed base,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",2,1,Activity Notifications,0
329,someone in red cliffs bought a rhk yamaha yz yzf wrf <num> - <num> blue pursuit footpegs <num> minutes ago,Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,2,1,Activity Notifications,0
328,someone in petaling jaya malaysia just bought sneakerguard midsole paint marker - boost white,"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",2,1,Activity Notifications,0
327,someone in new lynn bought a kogan a <num> earphones with inline control for ios android <num> hour ago,Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,2,1,Activity Notifications,0
307,tristan in markham canada purchase a dragon baseball jersey,"Tristan in Markham, Canada purchased a Dragon Baseball Jersey",2,1,Activity Notifications,0
305,trending style sold <num> times today,Trending Style! Sold 4 times today,2,1,Activity Notifications,0
270,james in cashion oklahoma just bought glossy black brick geode amber gradient fast lanes,"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",2,1,Activity Notifications,0
304,this product was view <num> seconds ago by someone from princeton,This product was viewed 26 seconds ago by someone from Princeton,2,1,Activity Notifications,0
285,popular item <num> person recent purchase this,Popular item! 🔥 27 people recently purchased this.,2,1,Activity Notifications,0
284,over <num> person have bought this product,Over 238 people have bought this product,2,1,Activity Notifications,0
283,last purchase was <num> minutes ago by someone from dublin,Last purchase was 18 minutes ago by someone from Dublin,2,1,Activity Notifications,0
282,laurie in urraween queensland bought no brainer usb charging anti-theft backpack,"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",2,1,Activity Notifications,0
281,get it fast <num> added to bag today,Get it fast! 14 added to bag today,2,1,Activity Notifications,0
280,grace from orlando united states bought camouflage jumpsuit <num> minutes ago,"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",2,1,Activity Notifications,0
279,ken in three bridges united states purchase all zebrawood olive ash,"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",2,1,Activity Notifications,0
278,keith in champaign illinois bought mini usb audio cassette to mp <num> converterabout <num> minutes ago,"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",2,1,Activity Notifications,0
277,kamal in lathrop united states purchase a father sons super slim stretch feather print long sleeve - fs <num> <num> hours ago,"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",2,1,Activity Notifications,0
276,jonathan in syracuse united states just bought electric skateboard battery pack <num> v <num> s <num> p <num> hours ago,"Jonathan in Syracuse, United States just bought Electric Skateboard Battery Pack 36V 10S2P 4 hours ago",2,1,Activity Notifications,0
275,joe m from bought a cartoon caterpillar rigged <num> d model recently,"Joe M from , Bought a Cartoon Caterpillar Rigged 3D Model Recently",2,1,Activity Notifications,0
274,jim in houston usa purchase pure ratios hemp oil cbd patch <num> mg cbd,"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",2,1,Activity Notifications,0
273,jeremy in warroad united states purchase a,"Jeremy in Warroad, United States purchased a",2,1,Activity Notifications,0
272,jeremy in stockton united states purchase a,"Jeremy in Stockton, United States purchased a",2,1,Activity Notifications,0
271,jamie in nashville united states purchased,"Jamie in Nashville, United States purchased",2,1,Activity Notifications,0
286,matthew in charleston south carolina just purchase the puffy lux mattress,"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",2,1,Activity Notifications,0
287,mher from san angelo tx recent made a purchase with crossrope,"Mher from San Angelo, TX Recently made a purchase with Crossrope",2,1,Activity Notifications,0
288,popular item <num> person are view this and <num> recent purchase it,Popular Item! 🔥 16 people are viewing this and 18 recently purchased it.,2,1,Activity Notifications,0
297,other person want this <num> person have this in their cart now,Other people want this. 10 people have this in their cart right now.,2,1,Activity Notifications,0
303,last purchase at <num> <num> am today,Last purchased at 11:19am today.,2,1,Activity Notifications,0
302,estiven in deer park united states purchase prewash <num> oz,"estiven in Deer Park, United States purchased PreWash™ 4 oz",2,1,Activity Notifications,0
301,don t miss out we ve sold <num> in the last few days,Don't miss out! We've sold 38 in the last few days.,2,1,Activity Notifications,0
300,mounif in pittsburgh united states purchased,"Mounif in Pittsburgh, United States purchased",2,1,Activity Notifications,0
299,long dress style beach cover up with lace detail jessica in metairie united states,"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",2,1,Activity Notifications,0
298,over <num> views in <num> hrs,Over 200 views in 24 hrs,2,1,Activity Notifications,0
296,one customer bought this article in the last <num> min,One customer bought this article in the last 53 min.,2,1,Activity Notifications,0
289,michael m from lacey wa just bought a cal king,"Michael M. from Lacey, WA just bought a Cal King",2,1,Activity Notifications,0
295,oliver in rotterdam netherlands purchase a england away soccer shorts <num> about <num> hours ago,"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",2,1,Activity Notifications,0
294,oh so popular <num> bought in the last <num> days,OH SO POPULAR! 21 bought in the last 7 days.,2,1,Activity Notifications,0
293,nancy in pennsylvania purchase <num> italian sterling silver milano twist adjustable chain,"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",2,1,Activity Notifications,0
195,<num> other person looking at this item,6 other people looking at this item,2,1,Activity Notifications,0
291,someone in ampang malaysia just bought,"Someone in Ampang, Malaysia just bought",2,1,Activity Notifications,0
290,monira in doha qatar purchase a lilyvanity velvet box,"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",2,1,Activity Notifications,0
196,<num> other person are currently view this item,3 other people are currently viewing this item.,2,1,Activity Notifications,0
214,another babe in alexandria united states just ordered flat tummy tea,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",2,1,Activity Notifications,0
194,<num> others have already bought this deal today,6 others have already bought this deal today!,2,1,Activity Notifications,0
84,no thanks i don t want the free gift,"No thanks, I don't want the free gift.",2,1,Confirmshaming,0
100,no thanks i hate fun games,"no thanks, I hate fun & games",2,1,Confirmshaming,0
99,no thanks i hate saving money,"No thanks, I hate saving money",2,1,Confirmshaming,0
98,no thanks i just want the item,"No thanks, I just want the item",2,1,Confirmshaming,0
97,no thanks i prefer to pay full price,"No thanks, I prefer to pay full price.",2,1,Confirmshaming,0
96,no thanks i ll be the last to know,"No thanks, I'll be the last to know.",2,1,Confirmshaming,0
95,no thanks i ll just walk,"[NO THANKS, I'LL JUST WALK]",2,1,Confirmshaming,0
94,no thanks i dont want a discount,"No thanks, I dont want a discount",2,1,Confirmshaming,0
93,no thanks i ll let this offer sail away,"No Thanks, I'll let this offer sail away",2,1,Confirmshaming,0
92,no thanks i prefer not to have a protection plan,"No Thanks, I prefer not to have a protection plan",2,1,Confirmshaming,0
91,no thanks i ll save money another day,"no thanks, I'll save money another day",2,1,Confirmshaming,0
90,no thanks i ll skip this amazing super-saver deal i don t need so many beautiful textures,"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",2,1,Confirmshaming,0
89,no thanks i love chaos,No thanks. I love chaos!,2,1,Confirmshaming,0
88,i d rather not save,I'd rather not save,2,1,Confirmshaming,0
87,no thanks i m not interested in saving money,"No thanks, I'm not interested in saving money.",2,1,Confirmshaming,0
86,no thanks i don t like free things,No thanks. I don't like free things...,2,1,Confirmshaming,0
101,no thanks i prefer to pay more for shoes,"No thanks, I prefer to pay more for shoes!",2,1,Confirmshaming,0
102,no thanks i rather pay full price,"No Thanks, I rather pay full price",2,1,Confirmshaming,0
103,no thanks i ll just pay full price,"No thanks, I'll just pay full price.",2,1,Confirmshaming,0
112,grab yourself a bargain,Grab yourself a bargain!,2,1,Pressured Selling,0
118,don t forget the essentials get up to <num> years of accidental damage coverage with applecare,Don't forget the essentials Get up to 2 years of accidental damage coverage with AppleCare+.,2,1,Pressured Selling,0
117,don t miss on these awesome items don t miss on our table decoration system,DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,2,1,Pressured Selling,0
116,fanstastic deals,FANSTASTIC DEALS,2,1,Pressured Selling,0
115,for the ultimate experience can select more than one,FOR THE ULTIMATE EXPERIENCE: (Can select more than one),2,1,Pressured Selling,0
